name,neighbourhood,latitude,longitude,number_of_reviews
Hyde Park - Walk to UChicago/Metra to McCormick Pl,Hyde Park,41.78886,-87.58671,149
We're back. 365 Great Reviews.  1 bad one.,South Lawndale,41.85495,-87.69696,368
Tiny Studio Apartment 94 Walk Score,West Town,41.90289,-87.68182,338
Barbara's Hideaway - Old Town,Lincoln Park,41.91769,-87.63788000000001,35
3 Comforts of Cooperative Living,Hyde Park,41.79708,-87.59195,38
The Biddle House (#1),Lincoln Park,41.91183,-87.64,9
Lincoln Park Guest House,Lincoln Park,41.92335,-87.64950999999999,4
*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,West Town,41.89617,-87.66041,9
Private Apt 1 Block to Fullerton L Red Line - Deck,Lincoln Park,41.926790000000004,-87.65521,37
"Old Town, Furnished 2 bedroom: SWG",Lincoln Park,41.914229999999996,-87.63846,178
Top 2/1  Block to Fullerton L Red Line Deck & Yard,Lincoln Park,41.92693,-87.65753000000001,44
3 bedroom Dramatic Bucktown LOFT,Logan Square,41.92083,-87.6801,47
Andersonville - Perfect location!,Uptown,41.97385,-87.66539,242
Central guestroom! Walk everywhere!,Near North Side,41.89377,-87.63465,467
2 Bedroom 1 Block to Fullerton L - Garage Avail,Lincoln Park,41.92673,-87.65731,51
 Furnished Junior 1 Bedroom :SW1R,Lincoln Park,41.913309999999996,-87.63964,233
Old Town Lincoln Park studio: 2F,Lincoln Park,41.91287,-87.63979,243
Beautiful 2 BR Old Town Lincoln Pk,Lincoln Park,41.91264,-87.63979,252
"Rest, Relax and Explore",West Town,41.89687,-87.67989,58
5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,Uptown,41.96792,-87.65756999999999,146
The Explorer Room,West Town,41.89693,-87.68033,54
Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,Uptown,41.9693,-87.65621,134
"Near Lake, Wrigley and Weiss Hospital",Uptown,41.96804,-87.65123,142
"Sweet Ivy Apartment - Relax, Recharge & Explore!",West Town,41.89243,-87.68078,34
Great 3 Bedroom in Great Wrigley/Lakeview Location,Lake View,41.94079,-87.65763000000001,19
Trendy Roscoe Village 3BR/2BR walk to shops,North Center,41.94364,-87.68155,14
4BR/2BR Walk to North Ave Beach & Zoo~Close to El,Lincoln Park,41.913509999999995,-87.63929,36
"Two Bedroom, One Bathroom Apartment",Lake View,41.94274,-87.67321,58
Cozy Garden Studio ,North Center,41.94274,-87.67378000000001,79
"Three Bedroom, Two Bathroom Combo Apartment",Lake View,41.942209999999996,-87.67327,21
ALONZO:  SWEET Flat in the Ukrainian Village,West Town,41.897529999999996,-87.67315,58
1BR/1BA Suite in Chicago (3709-G1),Irving Park,41.96012,-87.72158,19
Room w/private bath -kid friendly,Portage Park,41.94325,-87.75403,160
Private Apartment Hip Logan Square,Logan Square,41.92973,-87.7012,423
Urban Oasis--Wicker Park Vintage,West Town,41.90136,-87.67973,318
Darling Damen Dwelling (with bike if you like),North Center,41.95935,-87.67963,150
Historic Pullman Artist Flat,Pullman,41.6883,-87.60892,240
1 Bedroom Apartment -Noble Square,West Town,41.89273,-87.65654,108
Gorgeous Private Room/Bath in a Lincoln Park Condo,Lincoln Park,41.931259999999995,-87.65227,67
Huge Bedroom with pvt marble bath,Uptown,41.96331,-87.66088,5
BROWN ROOM - WALK TO TRAIN TO O'HARE/DOWNTOWN,Irving Park,41.95602,-87.72780999999999,135
Beautifully Furnished Studio SW2R,Lincoln Park,41.91337,-87.63918000000001,224
Luxe Modern Condo in Lakeview,Uptown,41.95939,-87.65441,55
Junior 1 bedroom in Old Town :SW1F,Lincoln Park,41.91291,-87.63839,253
Walk to Subway 2bed/2bath 6 month+,Near West Side,41.88565,-87.65307,22
Quiet Bedroom/ARAGON/Train,Uptown,41.96797,-87.65791,94
Close to Michigan Ave and parks,Near South Side,41.86051,-87.62399,39
Studio Apartment Unit 4,West Ridge,42.00692,-87.68438,18
You'll love Chicago! Guaranteed!,Near North Side,41.90314,-87.63494,62
Steps From the Best Chicago Offers,Near West Side,41.88467,-87.64487,62
Bohemian Chic in the heart of Lincoln Square,North Center,41.960840000000005,-87.68463,0
Logan Square Classic Bungalow,Logan Square,41.92716,-87.70470999999999,128
Quiet room in Quiet neighborhood!,Chatham,41.72763,-87.61307,211
Downtown 3BR/2BA Loft & Amazing River View,Near West Side,41.88623,-87.6404,10
"30 Day+ Med student, interns & interim stays.",Edgewater,41.977940000000004,-87.65764,58
"Sunny Home w/ Private Bathroom, Parking, Laundry",Logan Square,41.92177,-87.68276999999999,78
Best Value in Chicago.  15 Minutes to Everything.,Bridgeport,41.827020000000005,-87.63967,40
nice room with king size bed,Woodlawn,41.78216,-87.59026999999999,44
"Luxury+Value. 15 Min to City, 10 McCormick Place",Bridgeport,41.82767,-87.63959,31
WHOLE PRIVATE FLOOR near Train,Albany Park,41.96331,-87.70916,47
Lincoln Park Sunny Modern Home,Lincoln Park,41.92026,-87.65892,25
"Spacious, Vintage Hyde Park Apt.",Kenwood,41.8077,-87.59436,216
Historic Chicago Home - Hyde Park,Hyde Park,41.80086,-87.58948000000001,8
"Luxury Chicago Loft, 1 blk to train w/ 2 pkg spots",Lake View,41.939859999999996,-87.65473,427
Lux Urban 3BR/3BA Duplex + Parking!,West Town,41.89862,-87.65597,193
Trains to downtown. McCormick. IIT.,Douglas,41.82869,-87.62058,11
"1 min to Lake,30 min to Downtown, free parking",Rogers Park,42.01455,-87.66511,364
Eclectic 2BR w/ Vintage Charm,West Town,41.88913,-87.66763,174
Spacious + Convenient Logan Square One-bed Apt,Logan Square,41.91891,-87.69901999999999,119
Niki's Place-2 units-4 floors-Sleeps18-Wicker Park,West Town,41.89843,-87.66659,117
Vintage Ukrainian Village Apt!,West Town,41.90095,-87.68181,4
Luxury Space - Come & Relax,Near South Side,41.86614,-87.62275,38
"Large, Private Logan Square Studio",Logan Square,41.92451,-87.69385,550
Sunny Duplex Pilsen Arts Dist./UIC/McCormick Place,Lower West Side,41.85329,-87.66539,170
Hostel Earphoria,Avondale,41.93245,-87.71528,157
Charming 1906 cottage Northside,Uptown,41.97053,-87.67267,14
Chicago room minutes from Downtown,West Town,41.91173,-87.6731,16
"Spacious Room with plush King Bed, Rogers Park",Rogers Park,42.00435,-87.67501,36
Private Lincoln Square Garden Apt,Lincoln Square,41.96714,-87.69611,260
Perfect Lincoln Park home in a great location!,Lincoln Park,41.912690000000005,-87.6425,51
Groovy on the Lake  private bd/bth,Lake View,41.942859999999996,-87.63919,28
Logan Square Modern Vintage Garden,Logan Square,41.93065,-87.70089,244
Home Away From Home,Grand Boulevard,41.82293,-87.61559,209
Drop-dead fab on the Lake  2bd/2bth,Lake View,41.942840000000004,-87.63919,35
Great neighborhood! Price Drop *,West Town,41.889559999999996,-87.66266999999999,112
"Price Drop! Great Deal, Great area!",West Town,41.88998,-87.6624,117
"Stylish, comfortable room in nice Duplex",North Center,41.93537,-87.67945999999999,133
Price drop! Affordability+Location!,West Town,41.89052,-87.66085,80
"Warm, bright 2br/2ba in West Town!",West Town,41.89375,-87.66545,201
The Stained Glass Apt. Edgewater #1,Edgewater,41.99667,-87.66213,80
Designer Lakeview Haven. Walk to Wrigley Field!,Lake View,41.94242,-87.67134,23
Wicker Park Garden Apartment,West Town,41.90567,-87.67311,8
Bucktown Apartment,West Town,41.906859999999995,-87.67319,31
Premium Condo-Gold Coast-Water View,Near North Side,41.90959,-87.62541,11
Edgebrook Lg bdr by golf course,Forest Glen,41.99244,-87.75569,52
Edgebrook bdr by golf course,Forest Glen,41.99201,-87.75719000000001,51
Style and Lake Views,Lincoln Park,41.93173,-87.65047,15
"Posh Flat, 20 Mins to Downtown.",Lake View,41.94301,-87.65064,331
Bedrm/Bath - Swanky Northside Condo.,West Ridge,41.99348,-87.68121,21
Huge private br in Wicker/Ukranian,West Town,41.9045,-87.68245999999999,102
"2 BD Condo by downtown,park,lake",Near North Side,41.90302,-87.63499,150
Off the Beaten Path on Harding Ave,Humboldt Park,41.9,-87.72140999999999,101
Large Private 3 Bedroom Apartment,West Town,41.90894,-87.69213,296
*Artsy*Room*in*CentralApt*,West Town,41.90019,-87.69861999999999,167
Close to Chicago music Festivals!!!,West Town,41.88995,-87.66096,110
"Spacious Studio, Amazing Location!",Lake View,41.93932,-87.65218,570
Palmer Treehouse - Bedroom 2,Logan Square,41.92255,-87.70293000000001,65
Logan Square-Chicago Prime Location-Longer Stays,Logan Square,41.92669,-87.699,117
Lovely 2 bedroom in Lincoln Square ,Lincoln Square,41.97847,-87.68087,162
LUXURY LOOP w/Balcony GYM & SPA by Millennium Park,Loop,41.88624,-87.61565999999999,13
Stunning Downtown Artist Loft (West Loop),Near West Side,41.88722,-87.64993,180
Comfy Room & Bike in Roscoe Village,North Center,41.949940000000005,-87.682,128
Modern Boystown/Wrigleyville 1 BDRM,Lake View,41.948840000000004,-87.64905,11
Guest bedroom with private bath,Uptown,41.961929999999995,-87.66238,0
Spacious space in Bucktown 10 min. from the loop,Logan Square,41.91661,-87.67159000000001,0
Beautiful Private Room Near CTA With Free Parking,Uptown,41.96437,-87.67398,180
Italian style in elegant apartment,Uptown,41.96046,-87.66346,16
04. Pullout sofa bed in common room,West Ridge,42.01562,-87.68818,134
Charming Rogers Park Bedroom Near Loyola Univ,Rogers Park,42.00184,-87.66951,94
"Cool Calm Uk Village, Awesome location + House",West Town,41.89513,-87.67399999999999,8
"Cozy, Beautiful & Vintage Drenched",West Town,41.90213,-87.67598000000001,87
Lincoln Square 2 Bedroom Condo - Welles Park View,Lincoln Square,41.96164,-87.68334,28
Cozy Private Room in a unique Chicago Penthouse,Lincoln Park,41.9217,-87.65959000000001,76
Modern one bedroom apartment,Lower West Side,41.859390000000005,-87.65271,158
"River West, Grand Blue Line Stop",West Town,41.89397,-87.64975,81
Lincoln Park Apt - 1 Bedroom plus alcove & futon,Lincoln Park,41.9263,-87.65567,36
Guest Room in AMAZING Location - Wicker Park!,West Town,41.90729,-87.66571,26
Private Entrance/Steam Room Ensuite,Logan Square,41.92649,-87.7138,129
Banging Playhouse with Huge Roof Deck on Bloomingdale Trail,Humboldt Park,41.91105,-87.70926999999999,191
Spacious 4 Bed Wicker Park Condo ,West Town,41.911390000000004,-87.68517,0
Charming apartment in Old Town,Lincoln Park,41.91316,-87.63813,266
Modern Guest Bedroom Room in Designers House,East Garfield Park,41.88449,-87.69659,23
Pilsen Art House-Raspberry Room,Lower West Side,41.85561,-87.66861,43
Modern Loft-Style Pad in Wicker!,West Town,41.90677,-87.66788000000001,118
Stay in a Designer Penthouse with Art Gallery,West Town,41.89505,-87.65449,218
"Huge Victorian near Loyola, Lake #1",Edgewater,41.993840000000006,-87.67036999999999,179
"Huge Victorian near Loyola, Lake #2",Rogers Park,42.00623,-87.66794,216
"Huge Victorian near Loyola, Lake #3",Rogers Park,42.004259999999995,-87.66693000000001,203
Huge Victorian near Loyola 2bd Apt,Rogers Park,42.003809999999994,-87.67081999999999,148
"Spacious, Eclectic Loft with Rooftop in Old Town",Near North Side,41.90465,-87.63591,89
Family-Friendly 3-Bedroom Apartment,West Town,41.90659,-87.69538,266
Beautiful Condo in Chicago,Near North Side,41.8943,-87.62609,25
Chicago Women's Residence/ Paris Rm,North Lawndale,41.85432,-87.70769,6
Chicago Women's ResidenceFlorenceRm,North Lawndale,41.85423,-87.70784,6
Chicago Women's Residence Midler Rm,North Lawndale,41.85455,-87.70768000000001,2
"4 rms/6 beds, 2.5 baths, Lake Michigan & McCormick",Oakland,41.819959999999995,-87.59978000000001,178
Charming space in Boystown/Lakeview,Lake View,41.94376,-87.65164,292
Mid-Century mdn twnhs in Lakview,Lake View,41.93396,-87.64108,24
MODERN LOFT Downtown FREE Pool/HotTub/Gym KING BED,Near South Side,41.852779999999996,-87.62453000000001,20
Studio at the Lake,Uptown,41.973490000000005,-87.65334,39
Tiny House Camper in the City,Austin,41.890440000000005,-87.7714,58
Private Suite in Historic District,Austin,41.88655,-87.77086,175
Private room in a cozy city condo,Rogers Park,42.01761,-87.67987,89
Art House in Hip Logan Square,Logan Square,41.91791,-87.70933000000001,199
Large modern apartment near CTA,East Garfield Park,41.88282,-87.72026,0
Entire Logan Square Home for Rent!,Logan Square,41.923970000000004,-87.69,13
Gorgeous Lincoln Park walk up,Lake View,41.9375,-87.65016999999999,5
Great 1B Steps from Beach :),Rogers Park,42.00527,-87.66405,24
"Posh Flat, Close to Downtown (No 2)",Lake View,41.94665,-87.65517,320
"Lincoln Park Studio, Great Value!",Lincoln Park,41.92628,-87.64026,477
"Boystown Studio, Outstanding Value!",Lake View,41.9395,-87.64483,446
3 Bedroom Charming Vintage Hideaway,Near West Side,41.87086,-87.68305,275
Wicker Park - Urban Homestead!,West Town,41.91095,-87.67783,169
Designer Flat / Perfect Location,Lake View,41.946740000000005,-87.64924,293
Two story family home,Portage Park,41.94735,-87.75761999999999,81
Single/room share,Portage Park,41.94556,-87.75419000000001,8
Spacious 3BD Home in Ravenswood,Lincoln Square,41.97009,-87.67423000000001,10
Jumbo 4br in the Wicker/Ukranian,West Town,41.90439,-87.68212,22
Urban Oasis--Wicker Park2 Vintage,West Town,41.90143,-87.67836,160
Private room near UIC Medical Dist.,Near West Side,41.8719,-87.68486,96
Chicago Rogers Park Cozy Home with nice Bathroom!,Rogers Park,42.00049,-87.66956,146
Lincoln Park Single Family Home,Lincoln Park,41.92913,-87.66920999999999,64
Historic Walk-Up; Safe Area & Close to EVERYTHING,Lincoln Park,41.91355,-87.63675,22
Oakley Bells,West Town,41.89934,-87.68443,107
Charming Andersonville 1BR - Yours,Edgewater,41.98288,-87.66708,100
Logan Square Vintage Deluxe Suite,Logan Square,41.92083,-87.68896,218
