Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
60645,48269,35.5,50589,26150,9858,20.42304585
60626,49416,33.9,39163,26849,11450,23.17063299
60631,29566,42.8,82226,43669,1505,5.090306433
60646,27865,44.3,86534,46488,1694,6.079310964
60659,40442,34.1,50554,22921,8599,21.26254884
60660,42068,37.7,45442,34042,6917,16.44242655
60630,57531,39.8,70122,32067,5413,9.408840451
60625,80676,34.2,63106,32916,12341,15.29699043
60640,68258,37.4,50488,39257,13808,20.22913065
60634,74901,39,62223,28216,7673,10.244189
60641,69954,35.7,56488,27379,9233,13.19867341
60618,95218,34.1,66246,37612,11928,12.52704321
60613,50553,32.2,79565,60468,5432,10.74515855
60657,70103,31.2,88708,69983,6077,8.668673238
60707,43250,39.5,55566,27670,4857,11.2300578
60639,90767,32.2,41307,16622,21786,24.00211531
60647,87707,31.6,68223,38700,14473,16.50153351
60614,70225,30.2,100116,73991,6699,9.539337843
60651,61828,33,36283,16898,17227,27.86278062
60622,53680,31.7,87143,54639,7034,13.10357675
60610,39345,33.7,81576,80153,4689,11.91765154
60654,18148,32.5,104629,98567,1420,7.82455367
60611,32198,40,96040,102349,2906,9.025405305
60644,49051,32.9,27617,14722,16258,33.14509388
60624,37665,29.4,22467,12880,16118,42.79304394
60612,35332,31.3,38756,24224,11377,32.20027171
60661,9697,31.3,104714,80692,1329,13.70526967
60606,2959,35.2,139179,132803,155,5.238256168
60608,78877,32.2,41226,19903,17000,21.55254383
60601,13887,37.6,110215,95152,1171,8.432346799
60602,1277,31.1,115774,77279,32,2.50587314
60603,1197,26.7,140114,106207,261,21.80451128
60604,668,40.6,114565,130966,127,19.01197605
60605,26188,33.6,107811,81144,2312,8.828471055
60623,88586,30,31445,12964,31356,35.39611225
60616,53331,36.5,46340,31122,13036,24.44356941
60638,58990,37.7,67045,28155,4669,7.914900831
60632,91644,30.8,42335,15928,18872,20.59272838
60609,60994,32.3,33959,16491,18640,30.56038299
60653,31820,35.9,28411,24282,11242,35.32998114
60615,40595,33.9,41679,35387,10228,25.19522109
60629,114129,30.6,41856,16165,23084,20.22623523
60621,30496,32.2,19845,12936,13802,45.25839454
60637,48006,30.6,28024,23067,17100,35.62054743
60652,43582,35.7,65770,24302,5049,11.58505805
60620,69195,40.3,33304,18786,18905,27.32133825
60619,62992,39.4,32558,20675,16963,26.92881636
60649,44223,39.4,24941,21633,15578,35.22601361
60655,28972,38.2,94524,38002,917,3.165124948
60643,51028,43.4,59488,31039,8369,16.40079956
60628,67942,37.9,38206,19510,18652,27.45282741
60617,81227,37.7,38417,19002,19706,24.26040602
