Zipcode,Crime Count
60624,15082
60619,12993
60621,10138
60620,9919
60628,8577
60636,8437
60651,8126
60644,8108
60637,8107
60602,8086
60649,7710
60629,7482
60623,6684
60647,6460
60617,6416
60610,6405
60612,6099
60639,6052
60614,4732
60643,4580
60615,4577
60616,4551
60641,4550
60622,4513
60657,3994
60609,3967
60607,3943
60608,3861
60625,3831
60626,3734
60653,3717
60632,3661
60618,3390
60640,3361
60642,3310
60613,3117
60660,2868
60638,2843
60659,2775
60654,2733
60652,2518
60630,2464
60605,2387
60827,2280
60661,2255
60603,2086
60645,1730
60634,1543
60606,1352
60707,1269
60601,1087
60604,1062
60018,1004
60656,928
60302,794
60633,721
60655,636
60646,561
60631,558
60456,440
60805,319
60304,279
60459,236
60611,217
46394,205
60804,151
60501,142
46327,135
60176,127
60419,121
60712,96
60402,88
60131,41
60714,37
60406,34
60534,28
60171,14
60106,12
60202,4
60803,4
60068,1
