Zipcode,Crime Count,Population,Crime Per 1000 People,Median Rent,Median Home Value
60624,15082,37665,400.4247975574141,1470.0,127100.0
60619,12993,62992,206.26428752857507,1429.0,129900.0
60621,10138,30496,332.43704092339976,1348.0,
60620,9919,69195,143.34850784016186,1424.0,125600.0
60628,8577,67942,126.24002825939773,1391.0,
60636,8437,34461,244.82748614375672,1349.0,
60651,8126,61828,131.42912596234714,1536.0,163500.0
60644,8108,49051,165.29734358117062,1507.0,131100.0
60637,8107,48006,168.87472399283425,1443.0,133600.0
60602,8086,1277,6332.028191072827,1666.0,
60649,7710,44223,174.34366732243404,1372.0,
60629,7482,114129,65.55739557868726,1488.0,170000.0
60623,6684,88586,75.4521030411126,1441.0,
60647,6460,87707,73.65432633655239,1955.0,393800.0
60617,6416,81227,78.98851367156242,1395.0,
60610,6405,39345,162.79069767441862,1874.0,296800.0
60612,6099,35332,172.6197214989245,1713.0,260700.0
60639,6052,90767,66.6762149239261,1719.0,232300.0
60614,4732,70225,67.38341046635814,2193.0,431900.0
60643,4580,51028,89.75464450889707,1478.0,148700.0
60615,4577,40595,112.74787535410765,1576.0,192100.0
60616,4551,53331,85.334983405524,1741.0,276400.0
60641,4550,69954,65.04274237355976,1880.0,278700.0
60622,4513,53680,84.07228017883756,2221.0,446700.0
60657,3994,70103,56.97331069997005,1990.0,352800.0
60609,3967,60994,65.03918418205069,1455.0,165800.0
60607,3943,28928,136.30392699115043,1937.0,355900.0
60608,3861,78877,48.94963043726308,1698.0,258600.0
60625,3831,80676,47.48624126134166,1841.0,295200.0
60626,3734,49416,75.56257082726242,1495.0,176900.0
60653,3717,31820,116.81332495285984,1666.0,231300.0
60632,3661,91644,39.948059883898566,1528.0,176800.0
60618,3390,95218,35.602512130059445,1977.0,392600.0
60640,3361,68258,49.23964956488617,1642.0,237200.0
60642,3310,19488,169.84811165845647,2209.0,453200.0
60613,3117,50553,61.65806183609281,1640.0,229200.0
60660,2868,42068,68.17533517162688,1567.0,203700.0
60638,2843,58990,48.19460925580607,1634.0,215200.0
60659,2775,40442,68.61678453093319,1860.0,277100.0
60654,2733,18148,150.59510689883183,1867.0,341400.0
60652,2518,43582,57.77614611536873,1520.0,172600.0
60630,2464,57531,42.82908345066138,1946.0,298300.0
60605,2387,26188,91.14861768749046,1865.0,284100.0
60661,2255,9697,232.54614829328656,1855.0,322800.0
60603,2086,1197,1742.6900584795321,1630.0,
60645,1730,48269,35.840808800679525,1620.0,215600.0
60634,1543,74901,20.60052602768988,1858.0,267600.0
60606,1352,2959,456.9111186211558,1910.0,406900.0
60707,1269,43250,29.341040462427745,1839.0,249300.0
60601,1087,13887,78.27464535176784,1944.0,391100.0
60604,1062,668,1589.820359281437,1835.0,
60656,928,26896,34.50327186198692,1890.0,284600.0
60633,721,13202,54.61293743372216,1395.0,110500.0
60655,636,28972,21.952229739058403,1755.0,238800.0
60646,561,27865,20.13278306118787,2250.0,385700.0
60631,558,29566,18.873029831563283,2045.0,332700.0
60805,319,19796,16.114366538694686,1566.0,182600.0
60611,217,32198,6.7395490403130625,1928.0,351800.0
60804,151,83735,1.803308055174061,1481.0,177300.0
60803,4,22362,0.17887487702352203,1560.0,163700.0
