Zipcode,AirBnB Review Count,Median Rent
60601,11.0,1944.0
60602,19.0,1666.0
60603,10.0,1630.0
60604,22.0,1835.0
60605,20.0,1865.0
60606,27.0,1910.0
60607,50.0,1937.0
60608,46.0,1698.0
60609,25.0,1455.0
60610,31.0,1874.0
60611,22.0,1928.0
60612,45.0,1713.0
60613,37.0,1640.0
60614,48.0,2193.0
60615,37.0,1576.0
60616,40.0,1741.0
60617,16.0,1395.0
60618,39.0,1977.0
60619,24.0,1429.0
60620,21.0,1424.0
60621,30.0,1348.0
60622,53.0,2221.0
60623,35.0,1441.0
60624,64.0,1470.0
60625,32.0,1841.0
60626,38.0,1495.0
60628,56.0,1391.0
60629,77.0,1488.0
60630,40.0,1946.0
60631,27.0,2045.0
60632,30.0,1528.0
60633,11.0,1395.0
60634,30.0,1858.0
60636,22.0,1349.0
60637,32.0,1443.0
60638,34.0,1634.0
60639,32.0,1719.0
60640,37.0,1642.0
60641,34.0,1880.0
60642,39.0,2209.0
60643,42.0,1478.0
60644,25.0,1507.0
60645,28.0,1620.0
60646,37.0,2250.0
60647,50.0,1955.0
60649,19.0,1372.0
60651,32.0,1536.0
60652,31.0,1520.0
60653,38.0,1666.0
60654,19.0,1867.0
60656,47.0,1890.0
60657,36.0,1990.0
60659,30.0,1860.0
60660,39.0,1567.0
60661,36.0,1855.0
60707,12.0,1839.0
60805,14.0,1566.0
