Zipcode,AirBnB Review Count
46327,2.0
60202,0.0
60302,37.0
60304,1.0
60456,2.0
60501,0.0
60601,11.0
60602,19.0
60603,10.0
60604,22.0
60605,20.0
60606,27.0
60607,50.0
60608,46.0
60609,25.0
60610,31.0
60611,22.0
60612,45.0
60613,37.0
60614,48.0
60615,37.0
60616,40.0
60617,16.0
60618,39.0
60619,24.0
60620,21.0
60621,30.0
60622,53.0
60623,35.0
60624,64.0
60625,32.0
60626,38.0
60628,56.0
60629,77.0
60630,40.0
60631,27.0
60632,30.0
60633,11.0
60634,30.0
60636,22.0
60637,32.0
60638,34.0
60639,32.0
60640,37.0
60641,34.0
60642,39.0
60643,42.0
60644,25.0
60645,28.0
60646,37.0
60647,50.0
60649,19.0
60651,32.0
60652,31.0
60653,38.0
60654,19.0
60656,47.0
60657,36.0
60659,30.0
60660,39.0
60661,36.0
60707,12.0
60712,31.0
60805,14.0
