Zipcode,Median Rent,Median Home Value,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Lat,Lng
60601,1944.0,391000.0,13887.0,37.6,110215.0,95152.0,1171.0,8.432346799164687,,
60602,1666.0,NaN,1277.0,31.1,115774.0,77279.0,32.0,2.505873140172279,,
60603,1630.0,NaN,1197.0,26.7,140114.0,106207.0,261.0,21.804511278195488,,
60604,1835.0,NaN,668.0,40.6,114565.0,130966.0,127.0,19.01197604790419,,
60605,1865.0,284200.0,26188.0,33.6,107811.0,81144.0,2312.0,8.828471055445242,,
60606,1910.0,407000.0,2959.0,35.2,139179.0,132803.0,155.0,5.238256167624197,,
60607,1937.0,355900.0,28928.0,30.1,92240.0,54282.0,5689.0,19.666067477876105,,
60608,1698.0,258700.0,78877.0,32.2,41226.0,19903.0,17000.0,21.552543834070768,,
60609,1455.0,165800.0,60994.0,32.3,33959.0,16491.0,18640.0,30.56038298849067,,
60610,1874.0,296900.0,39345.0,33.7,81576.0,80153.0,4689.0,11.91765154403355,,
60611,1928.0,351800.0,32198.0,40.0,96040.0,102349.0,2906.0,9.025405304677308,,
60612,1713.0,260700.0,35332.0,31.3,38756.0,24224.0,11377.0,32.20027170836635,,
60613,1640.0,229300.0,50553.0,32.2,79565.0,60468.0,5432.0,10.745158546475976,,
60614,2193.0,432000.0,70225.0,30.2,100116.0,73991.0,6699.0,9.53933784264863,,
60615,1576.0,192100.0,40595.0,33.9,41679.0,35387.0,10228.0,25.195221086340684,,
60616,1741.0,276400.0,53331.0,36.5,46340.0,31122.0,13036.0,24.44356940616152,,
60617,1395.0,NaN,81227.0,37.7,38417.0,19002.0,19706.0,24.260406022627944,,
60618,1977.0,392700.0,95218.0,34.1,66246.0,37612.0,11928.0,12.52704320611649,,
60619,1429.0,129900.0,62992.0,39.4,32558.0,20675.0,16963.0,26.928816357632716,,
60620,1424.0,125600.0,69195.0,40.3,33304.0,18786.0,18905.0,27.321338246983164,,
60621,1348.0,NaN,30496.0,32.2,19845.0,12936.0,13802.0,45.25839454354669,,
60622,2221.0,446800.0,53680.0,31.7,87143.0,54639.0,7034.0,13.103576751117735,,
60623,1441.0,NaN,88586.0,30.0,31445.0,12964.0,31356.0,35.396112252500394,,
60624,1470.0,127100.0,37665.0,29.4,22467.0,12880.0,16118.0,42.79304393999735,,
60625,1841.0,295300.0,80676.0,34.2,63106.0,32916.0,12341.0,15.296990430859239,,
60626,1495.0,177000.0,49416.0,33.9,39163.0,26849.0,11450.0,23.170632993362474,,
