Zipcode,Crime Count
46327,135
46394,205
60018,1004
60068,1
60106,12
60131,41
60171,14
60176,127
60202,4
60302,794
60304,279
60402,88
60406,34
60419,121
60456,440
60459,236
60501,142
60534,28
60601,1087
60602,8086
60603,2086
60604,1062
60605,2387
60606,1352
60607,3943
60608,3861
60609,3967
60610,6405
60611,217
60612,6099
60613,3117
60614,4732
60615,4577
60616,4551
60617,6416
60618,3390
60619,12993
60620,9919
60621,10138
60622,4513
60623,6684
60624,15082
60625,3831
60626,3734
60628,8577
60629,7482
60630,2464
60631,558
60632,3661
60633,721
60634,1543
60636,8437
60637,8107
60638,2843
60639,6052
60640,3361
60641,4550
60642,3310
60643,4580
60644,8108
60645,1730
60646,561
60647,6460
60649,7710
60651,8126
60652,2518
60653,3717
60654,2733
60655,636
60656,928
60657,3994
60659,2775
60660,2868
60661,2255
60707,1269
60712,96
60714,37
60803,4
60804,151
60805,319
60827,2280
