Zipcode,Review Count,Median Rent
60601,11.0,1944
60602,19.0,1666
60603,10.0,1630
60604,22.0,1835
60605,20.0,1865
60606,27.0,1910
60607,50.0,1937
60608,46.0,1698
60609,25.0,1455
60610,31.0,1874
60611,22.0,1928
60612,45.0,1713
60613,37.0,1640
60614,48.0,2193
60615,37.0,1576
60616,40.0,1741
60617,16.0,1395
60618,39.0,1977
60619,24.0,1429
60620,21.0,1424
60621,30.0,1348
60622,53.0,2221
60623,35.0,1441
60624,64.0,1470
60625,32.0,1841
60626,38.0,1495
60628,56.0,1391
60629,77.0,1488
60630,40.0,1946
60631,27.0,2045
60632,30.0,1528
60633,11.0,1395
60634,30.0,1858
60636,22.0,1349
60637,32.0,1443
60638,34.0,1634
60639,32.0,1719
60640,37.0,1642
60641,34.0,1880
60642,39.0,2209
60643,42.0,1478
60644,25.0,1507
60645,28.0,1620
60646,37.0,2250
60647,50.0,1955
60649,19.0,1372
60651,32.0,1536
60652,31.0,1520
60653,38.0,1666
60654,19.0,1867
60656,47.0,1890
60657,36.0,1990
60659,30.0,1860
60660,39.0,1567
60661,36.0,1855
60707,12.0,1839
60805,14.0,1566
