lat,long
41.78886,-87.58671
41.85495,-87.69696
41.90289,-87.68182
41.91769,-87.63788
41.79708,-87.59195
41.91183,-87.64
41.92335,-87.64951
41.89617,-87.66041
41.92679,-87.65521
41.91423,-87.63846
41.92693,-87.65753
41.92083,-87.6801
41.97385,-87.66539
41.89377,-87.63465
41.92673,-87.65731
41.91331,-87.63964
41.91287,-87.63979
41.91264,-87.63979
41.89687,-87.67989
41.96792,-87.65757
41.89693,-87.68033
41.9693,-87.65621
41.96804,-87.65123
41.89243,-87.68078
41.94079,-87.65763
41.94364,-87.68155
41.91351,-87.63929
41.94274,-87.67321
41.94274,-87.67378
41.94221,-87.67327
41.89753,-87.67315
41.96012,-87.72158
41.94325,-87.75403
41.92973,-87.7012
41.90136,-87.67973
41.95935,-87.67963
41.6883,-87.60892
41.89273,-87.65654
41.93126,-87.65227
41.96331,-87.66088
41.95602,-87.72781
41.91337,-87.63918
41.95939,-87.65441
41.91291,-87.63839
41.88565,-87.65307
41.96797,-87.65791
41.86051,-87.62399
42.00692,-87.68438
41.90314,-87.63494
41.88467,-87.64487
41.96084,-87.68463
41.92716,-87.70471
41.72763,-87.61307
41.88623,-87.6404
41.97794,-87.65764
41.92177,-87.68277
41.82702,-87.63967
41.78216,-87.59027
41.82767,-87.63959
41.96331,-87.70916
41.92026,-87.65892
41.8077,-87.59436
41.80086,-87.58948
41.93986,-87.65473
41.89862,-87.65597
41.82869,-87.62058
42.01455,-87.66511
41.88913,-87.66763
41.91891,-87.69902
41.89843,-87.66659
41.90095,-87.68181
41.86614,-87.62275
41.92451,-87.69385
41.85329,-87.66539
41.93245,-87.71528
41.97053,-87.67267
41.91173,-87.6731
42.00435,-87.67501
41.96714,-87.69611
41.91269,-87.6425
41.94286,-87.63919
41.93065,-87.70089
41.82293,-87.61559
41.94284,-87.63919
41.88956,-87.66267
41.88998,-87.6624
41.93537,-87.67946
41.89052,-87.66085
41.89375,-87.66545
41.99667,-87.66213
41.94242,-87.67134
41.90567,-87.67311
41.90686,-87.67319
41.90959,-87.62541
41.99244,-87.75569
41.99201,-87.75719
41.93173,-87.65047
41.94301,-87.65064
41.99348,-87.68121
41.9045,-87.68246
41.90302,-87.63499
41.9,-87.72141
41.90894,-87.69213
41.90019,-87.69862
41.88995,-87.66096
41.93932,-87.65218
41.92255,-87.70293
41.92669,-87.699
41.97847,-87.68087
41.88624,-87.61566
41.88722,-87.64993
41.94994,-87.682
41.94884,-87.64905
41.96193,-87.66238
41.91661,-87.67159
41.96437,-87.67398
41.96046,-87.66346
42.01562,-87.68818
42.00184,-87.66951
41.89513,-87.674
41.90213,-87.67598
41.96164,-87.68334
41.9217,-87.65959
41.85939,-87.65271
41.89397,-87.64975
41.9263,-87.65567
41.90729,-87.66571
41.92649,-87.7138
41.91105,-87.70927
41.91139,-87.68517
41.91316,-87.63813
41.88449,-87.69659
41.85561,-87.66861
41.90677,-87.66788
41.89505,-87.65449
41.99384,-87.67037
42.00623,-87.66794
42.00426,-87.66693
42.00381,-87.67082
41.90465,-87.63591
41.90659,-87.69538
41.8943,-87.62609
41.85432,-87.70769
41.85423,-87.70784
41.85455,-87.70768
41.81996,-87.59978
41.94376,-87.65164
41.93396,-87.64108
41.85278,-87.62453
41.97349,-87.65334
41.89044,-87.7714
41.88655,-87.77086
42.01761,-87.67987
41.91791,-87.70933
41.88282,-87.72026
41.92397,-87.69
41.9375,-87.65017
42.00527,-87.66405
41.94665,-87.65517
41.92628,-87.64026
41.9395,-87.64483
41.87086,-87.68305
41.91095,-87.67783
41.94674,-87.64924
41.94735,-87.75762
41.94556,-87.75419
41.97009,-87.67423
41.90439,-87.68212
41.90143,-87.67836
41.8719,-87.68486
42.00049,-87.66956
41.92913,-87.66921
41.91355,-87.63675
41.89934,-87.68443
41.98288,-87.66708
41.92083,-87.68896
41.79753,-87.62155
41.94633,-87.65506
41.96952,-87.67239
41.83812,-87.65231
41.98496,-87.66806
41.82781,-87.60523
41.97101,-87.68878
41.92989,-87.64103
42.0159,-87.68827
41.81266,-87.61586
42.01701,-87.68718
41.91307,-87.64012
41.91406,-87.63934
41.98067,-87.68875
41.93275,-87.71645
41.88642,-87.61695
41.89208,-87.61366
41.87649,-87.64737
41.90491,-87.66601
41.90587,-87.66479
41.90613,-87.66607
41.79819,-87.59601
41.82936,-87.6048
41.71348,-87.67195
41.85763,-87.66236
41.90607,-87.6488
41.90697,-87.62941
41.91638,-87.68422
42.01114,-87.67634
41.93574,-87.66225
41.859,-87.6462
41.97282,-87.67257
41.96811,-87.69571
42.01599,-87.66901
41.72836,-87.6136
41.82516,-87.67456
41.95608,-87.64536
41.89398,-87.68606
41.89665,-87.69719
41.93465,-87.65754
41.88999,-87.66254
41.99969,-87.67116
41.89232,-87.62369
41.79984,-87.59465
41.93485,-87.65965
41.84773,-87.68235
41.85675,-87.65501
41.93998,-87.70272
41.91129,-87.68337
41.91841,-87.70861
41.77892,-87.59886
41.79963,-87.59477
41.88575,-87.65052
41.93283,-87.64315
41.90941,-87.68354
41.91056,-87.67959
41.97654,-87.83691
42.004,-87.67503
41.94764,-87.70817
41.85453,-87.62052
41.93101,-87.65878
41.94327,-87.66081
41.951,-87.66203
41.94853,-87.66162
41.81832,-87.61463
41.91344,-87.69031
41.9453,-87.65084
41.92146,-87.68699
41.89253,-87.66048
41.93267,-87.64028
41.96267,-87.66526
41.98864,-87.69345
41.8967,-87.65734
41.82796,-87.61841
41.82926,-87.60859
41.85658,-87.65423
41.91766,-87.65337
41.93395,-87.63923
41.88745,-87.70784
41.99462,-87.7795
41.92403,-87.63783
41.84721,-87.67932
41.92323,-87.71348
41.90992,-87.68411
41.89309,-87.65062
41.89984,-87.6764
41.90099,-87.63385
41.85959,-87.62234
41.80379,-87.60386
41.94656,-87.65509
41.94662,-87.65541
41.90669,-87.68283
41.88776,-87.6227
41.89648,-87.65651
41.86756,-87.68662
41.94264,-87.68336
41.8877,-87.64276
41.93501,-87.64819
41.85105,-87.67942
41.96293,-87.69358
41.9088,-87.63947
41.89009,-87.62304
41.90027,-87.68055
41.89076,-87.62277
41.97487,-87.67027
41.89907,-87.68085
41.88342,-87.69618
41.79599,-87.62355
41.8579,-87.65104
41.85448,-87.70787
41.89826,-87.70336
41.90547,-87.66618
41.8537,-87.62338
41.90772,-87.68121
41.80458,-87.60508
41.78977,-87.58916
41.90615,-87.67497
41.91721,-87.6363
41.96821,-87.65626
41.88618,-87.61888
41.98705,-87.66228
41.85211,-87.6216
41.86759,-87.68204
41.91432,-87.6737
41.93227,-87.64879
41.92059,-87.68487
41.85445,-87.62432
41.68612,-87.67735
41.68582,-87.68067
41.94475,-87.76953
42.00598,-87.67211
41.82734,-87.61871
41.92985,-87.64353
41.94927,-87.64669
41.94278,-87.67221
41.85235,-87.6216
41.97934,-87.67656
41.85441,-87.62151
41.89016,-87.62209
41.9897,-87.66383
41.94795,-87.68314
41.89425,-87.68468
41.82872,-87.60826
41.90243,-87.67028
41.88766,-87.61754
41.93758,-87.7124
41.88523,-87.65195
41.78355,-87.72894
41.9044,-87.67145
41.99177,-87.6641
41.92049,-87.65789
41.79629,-87.59162
41.87327,-87.68844
41.97924,-87.77145
41.77293,-87.56951
41.92092,-87.70068
41.90263,-87.64155
41.91548,-87.67451
41.85298,-87.62761
41.96315,-87.6804
41.91603,-87.67119
41.93156,-87.71161
41.94425,-87.68671
41.86823,-87.68483
42.00529,-87.67761
41.85683,-87.65249
41.82875,-87.60826
41.91704,-87.69375
41.75282,-87.56201
41.96697,-87.70906
41.93493,-87.6462
41.90226,-87.6797
41.9895,-87.66685
41.94313,-87.65613
41.94465,-87.65477
41.94276,-87.65498
41.93625,-87.71245
41.90832,-87.69444
41.89986,-87.6803
41.94279,-87.65548
41.8867,-87.64338
41.88373,-87.70718
41.8611,-87.6278
41.85634,-87.62789
41.90961,-87.69635
41.90968,-87.69768
41.93755,-87.66932
41.82583,-87.67534
41.91342,-87.6332
41.848,-87.63405
41.96005,-87.65633
41.99993,-87.66844
41.94328,-87.6487
41.92709,-87.66337
41.7998,-87.59381
41.94009,-87.65697
41.89646,-87.6962
41.92716,-87.65788
41.82565,-87.67414
41.90182,-87.68402
41.9293,-87.72039
41.88626,-87.61621
41.89805,-87.62977
41.92245,-87.70345
41.99041,-87.66022
41.93673,-87.6834
41.92747,-87.68912
42.00355,-87.6738
42.00565,-87.6633
41.96024,-87.72159
41.99783,-87.67373
41.91174,-87.68596
41.88975,-87.63425
41.80285,-87.60354
41.88665,-87.63292
41.9318,-87.65113
41.89768,-87.6437
42.02139,-87.67363
41.93308,-87.71625
41.90275,-87.6311
41.94591,-87.65382
42.0171,-87.68847
41.97702,-87.67242
41.94224,-87.65137
41.83514,-87.64774
41.89754,-87.7031
41.77189,-87.57458
41.91999,-87.69002
41.94165,-87.63983
41.78384,-87.72759
41.91147,-87.66968
41.95037,-87.6457
42.0059,-87.68286
41.88149,-87.62486
41.92463,-87.69025
41.90624,-87.69184
41.97407,-87.6659
41.89422,-87.62596
41.79555,-87.59174
41.9915,-87.65704
41.97355,-87.66142
41.88307,-87.63397
41.912,-87.6776
41.94148,-87.79432
41.95293,-87.66995
41.91887,-87.71186
41.91391,-87.65063
42.0061,-87.66298
42.00493,-87.66471
41.88371,-87.68629
41.9197,-87.67986
41.95859,-87.71502
41.95717,-87.64828
41.90127,-87.69165
41.79507,-87.59332
41.79718,-87.59379
41.7898,-87.58961
41.92565,-87.66079
41.79536,-87.59219
41.91842,-87.67367
41.93869,-87.64426
41.94061,-87.64544
41.79124,-87.58822
41.84737,-87.67978
41.90427,-87.66726
41.91697,-87.63704
41.99673,-87.6626
41.90531,-87.66735
41.92769,-87.70003
41.94966,-87.64745
41.96811,-87.65653
41.97783,-87.80186
41.96765,-87.69038
41.90787,-87.63454
41.91994,-87.64387
41.93473,-87.65801
41.89581,-87.61683
41.78396,-87.72969
41.95015,-87.71031
41.89155,-87.64871
41.89783,-87.68693
41.95952,-87.68316
41.94278,-87.64898
41.92721,-87.69733
41.99638,-87.66284
41.90516,-87.6291
41.96739,-87.68367
41.88119,-87.65489
41.96841,-87.6851
41.81954,-87.61594
41.94245,-87.73234
41.91445,-87.68547
41.9197,-87.70636
41.81933,-87.61495
41.95022,-87.6712
41.98677,-87.66272
41.94017,-87.71417
41.99574,-87.76232
42.01538,-87.68876
41.90672,-87.62905
41.97367,-87.66398
41.95581,-87.66922
41.84911,-87.67924
41.9382,-87.65539
41.90399,-87.64059
41.96063,-87.70653
41.99169,-87.6739
41.95945,-87.67749
41.85525,-87.63507
41.85535,-87.63312
41.85758,-87.63508
41.85643,-87.63134
41.93008,-87.70562
41.88403,-87.65593
41.95378,-87.73876
41.90004,-87.62266
41.93013,-87.70976
41.90845,-87.63605
41.96654,-87.65702
41.9276,-87.64135
41.91215,-87.66831
41.93504,-87.65187
41.90857,-87.64201
42.01117,-87.66466
41.9426,-87.79946
41.90383,-87.69455
41.95773,-87.64759
41.92234,-87.687
41.91688,-87.63564
41.93262,-87.71007
41.79817,-87.59621
41.94017,-87.66987
41.92192,-87.7002
41.9212,-87.69993
41.91735,-87.67712
41.90442,-87.62462
41.90368,-87.67993
41.91376,-87.63361
41.72077,-87.57856
41.942,-87.64778
41.97138,-87.66722
41.90738,-87.67713
41.97182,-87.66773
41.97175,-87.66854
41.91221,-87.64956
42.0056,-87.66169
41.90793,-87.6884
41.89869,-87.67049
41.96535,-87.69924
41.94691,-87.68787
41.81158,-87.61336
41.68906,-87.60769
41.90021,-87.69305
41.94967,-87.7614
41.95054,-87.76094
42.01447,-87.66606
41.91879,-87.68754
41.92104,-87.65891
41.97085,-87.66695
41.73415,-87.63925
41.98998,-87.66709
41.89316,-87.62442
41.90747,-87.67715
41.91714,-87.68751
41.89494,-87.65888
41.89955,-87.69222
41.92149,-87.67817
41.96783,-87.69364
41.91858,-87.6779
41.89257,-87.66986
41.90368,-87.67943
41.90436,-87.67953
41.89405,-87.68498
41.89266,-87.68655
41.88945,-87.68241
41.90036,-87.69332
41.85747,-87.67034
41.85625,-87.67049
41.79718,-87.59735
41.86754,-87.65888
42.00239,-87.66692
