Zipcode,Median Rent
60601,1944
60602,1666
60603,1630
60604,1835
60605,1865
60606,1910
60607,1937
60608,1698
60609,1455
60610,1874
60611,1928
60612,1713
60613,1640
60614,2193
60615,1576
60616,1741
60617,1395
60618,1977
60619,1429
60620,1424
60621,1348
60622,2221
60623,1441
60624,1470
60625,1841
60626,1495
60628,1391
60629,1488
60630,1946
60631,2045
60632,1528
60633,1395
60634,1858
60636,1349
60637,1443
60638,1634
60639,1719
60640,1642
60641,1880
60642,2209
60643,1478
60644,1507
60645,1620
60646,2250
60647,1955
60649,1372
60651,1536
60652,1520
60653,1666
60654,1867
60655,1755
60656,1890
60657,1990
60659,1860
60660,1567
60661,1855
60706,1898
60707,1839
60803,1560
60804,1481
60805,1566
