Zipcode,Crime Count,Population,Crime Per 1000 People
60624,15082,37665,400.4247976
60619,12993,62992,206.2642875
60621,10138,30496,332.4370409
60620,9919,69195,143.3485078
60628,8577,67942,126.2400283
60636,8437,34461,244.8274861
60651,8126,61828,131.429126
60644,8108,49051,165.2973436
60637,8107,48006,168.874724
60602,8086,1277,6332.028191
60649,7710,44223,174.3436673
60629,7482,114129,65.55739558
60623,6684,88586,75.45210304
60647,6460,87707,73.65432634
60617,6416,81227,78.98851367
60610,6405,39345,162.7906977
60612,6099,35332,172.6197215
60639,6052,90767,66.67621492
60614,4732,70225,67.38341047
60643,4580,51028,89.75464451
60615,4577,40595,112.7478754
60616,4551,53331,85.33498341
60641,4550,69954,65.04274237
60622,4513,53680,84.07228018
60657,3994,70103,56.9733107
60609,3967,60994,65.03918418
60607,3943,28928,136.303927
60608,3861,78877,48.94963044
60625,3831,80676,47.48624126
60626,3734,49416,75.56257083
60653,3717,31820,116.813325
60632,3661,91644,39.94805988
60618,3390,95218,35.60251213
60640,3361,68258,49.23964956
60642,3310,19488,169.8481117
60613,3117,50553,61.65806184
60660,2868,42068,68.17533517
60638,2843,58990,48.19460926
60659,2775,40442,68.61678453
60654,2733,18148,150.5951069
60652,2518,43582,57.77614612
60630,2464,57531,42.82908345
60605,2387,26188,91.14861769
60661,2255,9697,232.5461483
60603,2086,1197,1742.690058
60645,1730,48269,35.8408088
60634,1543,74901,20.60052603
60606,1352,2959,456.9111186
60707,1269,43250,29.34104046
60601,1087,13887,78.27464535
60604,1062,668,1589.820359
60656,928,26896,34.50327186
60633,721,13202,54.61293743
60655,636,28972,21.95222974
60646,561,27865,20.13278306
60631,558,29566,18.87302983
60805,319,19796,16.11436654
60611,217,32198,6.73954904
60804,151,83735,1.803308055
60803,4,22362,0.178874877
