Zipcode,Population,Total Nightlife,Total Restaurant,Total Grocery,Median Rent,Median Home Value,Nightlife per Capita,Restaurants per Capita,Grocery per Capita
60601,13887,47,149,7,1944.0,391100.0,3.3844602865989772,10.729459206452077,0.504068553323252
60602,1277,11,78,0,1666.0,,8.613938919342209,61.080657791699295,0.0
60603,1197,22,97,1,1630.0,,18.379281537176272,81.03592314118629,0.835421888053467
60604,668,5,41,0,1835.0,,7.485029940119761,61.377245508982035,0.0
60605,26188,34,113,7,1865.0,284100.0,1.2983045669772415,4.314953413777302,0.26729799908354973
60606,2959,22,163,3,1910.0,406900.0,7.434944237918216,55.08617776275769,1.0138560324433932
60607,28928,81,220,6,1937.0,355900.0,2.800055309734513,7.605088495575221,0.20741150442477876
60608,78877,34,151,22,1698.0,258600.0,0.4310508766814154,1.914373011143933,0.27891527314679815
60609,60994,9,90,8,1455.0,165800.0,0.14755549726202577,1.4755549726202577,0.13116044201068958
60610,39345,70,129,11,1874.0,296800.0,1.7791333079171432,3.278688524590164,0.2795780912441225
60611,32198,96,307,7,1928.0,351800.0,2.981551649170756,9.534753711410648,0.2174048077520343
60612,35332,12,77,8,1713.0,260700.0,0.3396354579418091,2.179327521793275,0.22642363862787276
60613,50553,76,148,13,1640.0,229200.0,1.5033726979605564,2.9276205170810834,0.2571558562300951
60614,70225,113,192,13,2193.0,431900.0,1.6091135635457459,2.734069063723745,0.1851192595229619
60615,40595,12,75,7,1576.0,192100.0,0.2956029067619165,1.8475181672619783,0.17243502894445129
60616,53331,40,159,25,1741.0,276400.0,0.7500328139356096,2.9813804353940485,0.46877050870975606
60617,81227,10,104,11,1395.0,,0.1231117731788691,1.2803624410602386,0.135422950496756
60618,95218,87,232,19,1977.0,392600.0,0.9136927891785167,2.4365141044760446,0.199542103383814
60619,62992,12,91,6,1429.0,129900.0,0.190500381000762,1.4446278892557787,0.095250190500381
60620,69195,8,79,10,1424.0,125600.0,0.11561529012211866,1.1417009899559218,0.14451911265264833
60621,30496,2,25,3,1348.0,,0.06558237145855195,0.8197796432318992,0.09837355718782792
60622,53680,108,231,15,2221.0,446700.0,2.0119225037257826,4.303278688524591,0.27943368107302535
60623,88586,6,93,12,1441.0,,0.06773079267604362,1.049827286478676,0.13546158535208724
60624,37665,1,24,4,1470.0,127100.0,0.026549847338377803,0.6371963361210673,0.10619938935351121
60625,80676,46,159,17,1841.0,295200.0,0.5701819624175716,1.9708463483563885,0.21071942089345036
60626,49416,22,90,15,1495.0,176900.0,0.44519993524364576,1.821272462360369,0.30354541039339483
60628,67942,4,62,4,1391.0,,0.05887374525330429,0.9125430514262165,0.05887374525330429
60629,114129,9,115,13,1488.0,170000.0,0.07885813421654443,1.007631714989179,0.11390619386834197
60630,57531,32,87,11,1946.0,298300.0,0.5562218629956024,1.512228190019294,0.1912012654047383
60631,29566,15,47,2,2045.0,332700.0,0.5073395116011635,1.589663803016979,0.06764526821348847
60632,91644,16,156,20,1528.0,176800.0,0.17458862555104537,1.7022390991226921,0.21823578193880666
60633,13202,8,13,2,1395.0,110500.0,0.6059687926071807,0.9846992879866687,0.15149219815179518
