ZipCode,Total Grocery
60601,7
60602,0
60603,1
60604,0
60605,7
60606,3
60607,6
60608,22
60609,8
60610,11
60611,7
60612,8
60613,13
60614,13
60615,7
60616,25
60617,11
60618,19
60619,6
60620,10
60621,3
60622,15
60623,12
60624,4
60625,17
60626,15
60628,4
60629,13
60630,11
60631,2
60632,20
60633,2
60634,10
60636,4
60637,4
60638,7
60639,24
60640,24
60641,12
60642,4
60643,5
60644,3
60645,7
60646,6
60647,34
60649,3
60651,7
60652,2
60653,4
60654,4
60655,1
60656,3
60657,14
60659,21
60660,15
60661,7
60706,9
60707,7
60803,4
60804,7
60805,11
