Zip Code	Type	County	2010 Population
60601	Standard	Cook	"11,110"
60602	Standard	Cook	"1,204"
60603	Standard	Cook	493
60604	Standard	Cook	570
60605	Standard	Cook	"24,668"
60606	Standard	Cook	"2,308"
60607	Standard	Cook	"23,897"
60608	Standard	Cook	"82,739"
60609	Standard	Cook	"64,906"
60610	Standard	Cook	"37,726"
60611	Standard	Cook	"28,718"
60612	Standard	Cook	"33,472"
60613	Standard	Cook	"48,281"
60614	Standard	Cook	"66,617"
60615	Standard	Cook	"40,603"
60616	Standard	Cook	"48,433"
60617	Standard	Cook	"84,155"
60618	Standard	Cook	"92,084"
60619	Standard	Cook	"63,825"
60620	Standard	Cook	"72,216"
60621	Standard	Cook	"35,912"
60622	Standard	Cook	"52,548"
60623	Standard	Cook	"92,108"
60624	Standard	Cook	"38,105"
60625	Standard	Cook	"78,651"
60626	Standard	Cook	"50,139"
60628	Standard	Cook	"72,202"
60629	Standard	Cook	"113,916"
60630	Standard	Cook	"54,093"
60631	Standard	Cook	"28,641"
60632	Standard	Cook	"91,326"
60633	Standard	Cook	"12,927"
60634	Standard	Cook	"74,298"
60636	Standard	Cook	"40,916"
60637	Standard	Cook	"49,503"
60638	Standard	Cook	"55,026"
60639	Standard	Cook	"90,407"
60640	Standard	Cook	"65,790"
60641	Standard	Cook	"71,663"
60642	Standard	Cook	"18,480"
60643	Standard	Cook	"49,952"
60644	Standard	Cook	"48,648"
60645	Standard	Cook	"45,274"
60646	Standard	Cook	"27,177"
60647	Standard	Cook	"87,291"
60649	Standard	Cook	"46,650"
60651	Standard	Cook	"64,267"
60652	Standard	Cook	"40,959"
60653	Standard	Cook	"29,908"
60654	Standard	Cook	"14,875"
60655	Standard	Cook	"28,550"
60656	Standard	Cook	"27,613"
60657	Standard	Cook	"65,996"
60659	Standard	Cook	"38,104"
60660	Standard	Cook	"42,752"
60661	Standard	Cook	"7,792"
60706	Standard	Cook	"23,134"
60707	Standard	Cook	"42,920"
60803	Standard	Cook	"22,285"
60804	Standard	Cook	"84,573"
60805	Standard	Cook	"19,852"
